series,court,surface,round,bestof,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,anho
ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Isner J.,1,13,15645,2280,6,2,6,2,,,,,,,2,0,2015
ATP500,Outdoor,Hard,Semifinals,3,Nadal R.,Fognini F.,8,28,3770,1300,7,5,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,Semifinals,3,Djokovic N.,Ferrer D.,1,7,15645,3945,6,2,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,The Final,3,Djokovic N.,Nadal R.,1,8,15645,3770,6,2,6,2,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Ito T.,Nishioka Y.,127,148,444,377,3,6,6,0,7,5,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Querrey S.,Dolgopolov O.,50,35,900,1125,7,6,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Nishikori K.,Coric B.,6,38,4540,1076,2,6,6,1,6,2,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Vesely J.,Uchiyama Y.,40,229,1042,216,6,4,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Chardy J.,Groth S.,27,53,1365,843,6,3,2,0,,,,,,,1,0,2015
ATP500,Outdoor,Hard,1st Round,3,Johnson S.,Tomic B.,48,20,915,1575,6,3,2,1,,,,,,,1,0,2015
ATP500,Outdoor,Hard,1st Round,3,Baghdatis M.,Verdasco F.,49,41,907,1020,7,5,6,1,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Krajicek A.,Ebden M.,124,131,450,430,5,7,7,6,7,6,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Muller G.,Anderson K.,43,12,1005,2430,6,2,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Wawrinka S.,Stepanek R.,4,255,6005,187,7,5,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Simon G.,Youzhny M.,10,92,2530,581,6,4,6,4,,,,,,,2,0,2015
